id,number,group,measurement.date,SPAD
I157,157,I,07.09.2022,32.8
I160,160,I,07.09.2022,34.4
I162,162,I,07.09.2022,33.8
J165,165,J,07.09.2022,34.2
J168,168,J,07.09.2022,33
J170,170,J,07.09.2022,31.9
J171,171,J,07.09.2022,33.8
J177,177,J,07.09.2022,31.9
J179,179,J,07.09.2022,28.7
K182,182,K,07.09.2022,33.4
K183,183,K,07.09.2022,34.1
K190,190,K,07.09.2022,31.4
K191,191,K,07.09.2022,28.4
K195,195,K,07.09.2022,34.9
K196,196,K,07.09.2022,36.2
A01,1,A,07.09.2022,41.9
A15,15,A,07.09.2022,29.7
B19,19,B,07.09.2022,36
B27,27,B,07.09.2022,25.9
B34,34,B,07.09.2022,33.2
B35,35,B,07.09.2022,38
C38,38,C,07.09.2022,36.7
C41,41,C,07.09.2022,38.4
C43,43,C,07.09.2022,33
C53,53,C,07.09.2022,39.6
D57,57,D,07.09.2022,34.6
D60,60,D,07.09.2022,30.1
D66,66,D,07.09.2022,38.5
D67,67,D,07.09.2022,37.3
E78,78,E,07.09.2022,36.7
E81,81,E,07.09.2022,33.9
E89,89,E,07.09.2022,37.7
F92,92,F,07.09.2022,36.4
F96,96,F,07.09.2022,38
F104,104,F,07.09.2022,33.1
F107,107,F,07.09.2022,38.4
G111,111,G,07.09.2022,26.2
G114,114,G,07.09.2022,42
G116,116,G,07.09.2022,36.2
G119,119,G,07.09.2022,40
H129,129,H,07.09.2022,32.7
H141,141,H,07.09.2022,38.2
H143,143,H,07.09.2022,43.9
H144,144,H,07.09.2022,35.1
I146,146,I,07.09.2022,31.2
I149,149,I,07.09.2022,33.3
I150,150,I,07.09.2022,37.2
I151,151,I,07.09.2022,30.3
J167,167,J,07.09.2022,26.3
J174,174,J,07.09.2022,38.2
J176,176,J,07.09.2022,33.7
J180,180,J,07.09.2022,38.3
K185,185,K,07.09.2022,25.1
K187,187,K,07.09.2022,30.6
K188,188,K,07.09.2022,30.4
K192,192,K,07.09.2022,32
K193,193,K,07.09.2022,28.8
K198,198,K,07.09.2022,28
A08,8,A,19.09.2022,31.4
A09,9,A,19.09.2022,28.2
A10,10,A,19.09.2022,28.5
A11,11,A,19.09.2022,32.2
B23,23,B,19.09.2022,34.5
B28,28,B,19.09.2022,30.6
B30,30,B,19.09.2022,26.4
C39,39,C,19.09.2022,20.2
C40,40,C,19.09.2022,28.6
C47,47,C,19.09.2022,32.5
C50,50,C,19.09.2022,37.5
D61,61,D,19.09.2022,32.8
D64,64,D,19.09.2022,29.8
D65,65,D,19.09.2022,31.7
D68,68,D,19.09.2022,33.2
E77,77,E,19.09.2022,33.4
E83,83,E,19.09.2022,35.6
E84,84,E,19.09.2022,35.8
F98,98,F,19.09.2022,35
F100,100,F,19.09.2022,32
F103,103,F,19.09.2022,29.1
G112,112,G,19.09.2022,33.3
G113,113,G,19.09.2022,37.1
G115,115,G,19.09.2022,35.6
H127,127,H,19.09.2022,36.7
H131,131,H,19.09.2022,37.3
H133,133,H,19.09.2022,33.6
H137,137,H,19.09.2022,29.6
I147,147,I,19.09.2022,32.9
I152,152,I,19.09.2022,28.6
I158,158,I,19.09.2022,17.9
I161,161,I,19.09.2022,28.6
J164,164,J,19.09.2022,30.8
J166,166,J,19.09.2022,32.4
J169,169,J,19.09.2022,36.6
J178,178,J,19.09.2022,30.3
K181,181,K,19.09.2022,29.2
K184,184,K,19.09.2022,31.8
K189,189,K,19.09.2022,27.8
A04,4,A,19.09.2022,30.9
A13,13,A,19.09.2022,34.1
C45,45,C,19.09.2022,29.4
D55,55,D,19.09.2022,29.6
H140,140,H,19.09.2022,30.1
B32,32,B,19.09.2022,30.3
C49,49,C,19.09.2022,36.8
D72,72,D,19.09.2022,36.3
F93,93,F,19.09.2022,33.4
G125,125,G,19.09.2022,34.1
H128,128,H,19.09.2022,31.4
I156,156,I,19.09.2022,24.1
I162,162,I,19.09.2022,31.1
J170,170,J,19.09.2022,28.4
A02,2,A,19.09.2022,32
A03,3,A,19.09.2022,36
A06,6,A,19.09.2022,36
A14,14,A,19.09.2022,36.7
A17,17,A,19.09.2022,33.1
A18,18,A,19.09.2022,31.2
B22,22,B,19.09.2022,21.6
B26,26,B,19.09.2022,40.1
B29,29,B,19.09.2022,32.5
B33,33,B,19.09.2022,26.7
B36,36,B,19.09.2022,34.8
C37,37,C,19.09.2022,32
C42,42,C,19.09.2022,36.3
C46,46,C,19.09.2022,30.9
C48,48,C,19.09.2022,33.8
C51,51,C,19.09.2022,37
C54,54,C,19.09.2022,35.8
D58,58,D,19.09.2022,28.5
D59,59,D,19.09.2022,25.8
D63,63,D,19.09.2022,30.2
D70,70,D,19.09.2022,32.1
E73,73,E,19.09.2022,30.9
E74,74,E,19.09.2022,31.5
E76,76,E,19.09.2022,29.9
E80,80,E,19.09.2022,28.9
E85,85,E,19.09.2022,33.8
E86,86,E,19.09.2022,30.3
E87,87,E,19.09.2022,36
E88,88,E,19.09.2022,33.4
F91,91,F,19.09.2022,31.1
F94,94,F,19.09.2022,26.2
F95,95,F,19.09.2022,20.4
F97,97,F,19.09.2022,30.2
F99,99,F,19.09.2022,10.5
F101,101,F,19.09.2022,30.8
F105,105,F,19.09.2022,23.9
F106,106,F,19.09.2022,24.7
F108,108,F,19.09.2022,29.5
G110,110,G,19.09.2022,30.2
G118,118,G,19.09.2022,29.6
G120,120,G,19.09.2022,39.3
G122,122,G,19.09.2022,32.3
G123,123,G,19.09.2022,35.7
G126,126,G,19.09.2022,30.5
H130,130,H,19.09.2022,29.8
H134,134,H,19.09.2022,28.7
H135,135,H,19.09.2022,28.2
H142,142,H,19.09.2022,31.5
I145,145,I,19.09.2022,34.3
I153,153,I,19.09.2022,31.9
I157,157,I,19.09.2022,30.3
I160,160,I,19.09.2022,31.6
J165,165,J,19.09.2022,31.7
J168,168,J,19.09.2022,29.8
J171,171,J,19.09.2022,33.6
J177,177,J,19.09.2022,40.4
J179,179,J,19.09.2022,23.1
K182,182,K,19.09.2022,35.1
K183,183,K,19.09.2022,35
K190,190,K,19.09.2022,33.8
K191,191,K,19.09.2022,29.1
K195,195,K,19.09.2022,34.8
K196,196,K,19.09.2022,35.1
A01,1,A,19.09.2022,40.9
A05,5,A,19.09.2022,32.1
A07,7,A,19.09.2022,25.6
A12,12,A,19.09.2022,30.8
A15,15,A,19.09.2022,31
A16,16,A,19.09.2022,33.4
B19,19,B,19.09.2022,35.2
B20,20,B,19.09.2022,28.1
B21,21,B,19.09.2022,31.1
B24,24,B,19.09.2022,28.3
B25,25,B,19.09.2022,30.4
B27,27,B,19.09.2022,21.9
B31,31,B,19.09.2022,29.2
B34,34,B,19.09.2022,33.9
B35,35,B,19.09.2022,39.1
C38,38,C,19.09.2022,34.3
